text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 21:59:21;FALSE;;1304540057232121856;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;shabyzz;42;TRUE;FALSE;;
RT @GdSArizona: #Venezia77 Personal comp favorites: Wife of a spy &amp; Disciple. Guessing Quo Vadis Aida, World to come &amp; Nomadland will proba…;FALSE;0;;2020-09-11 21:58:31;FALSE;;1304539845595930639;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;eladitoangelito;4;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 21:56:21;FALSE;;1304539300802056193;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;0autorun0;42;TRUE;FALSE;;
#Venezia77 Even though I loved Zhao's NOMADLAND, I still go for the underdog THE DISCIPLE for the Golden Lion. I'm… https://t.co/iVJLlzglka;FALSE;4;;2020-09-11 21:56:18;TRUE;;1304539290370801665;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;ThomasDockal;1;FALSE;FALSE;;
RT @askyfullofCate: That's all I could do.
#CateBlanchett 
#Venezia77 https://t.co/y2ssBHUCOg;FALSE;0;;2020-09-11 21:56:03;FALSE;;1304539225476362240;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;CBlanchett_army;33;TRUE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 21:54:21;FALSE;;1304538797019926536;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;elturanmammadov;42;TRUE;FALSE;;
RT @nomadlandfilm: see you down the road. 
#Nomadland, a film by Chloé Zhao starring Frances McDormand.
In theaters December 4.
#Venezia77…;FALSE;0;;2020-09-11 21:54:05;FALSE;;1304538732381396992;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;torisantotori;573;TRUE;FALSE;;
RT @BeastiesForever: #TheFurnace
Thanks to its harsh landscapes, rough characters, tough stories, perfectly represented and real, it moves…;FALSE;0;;2020-09-11 21:52:25;FALSE;;1304538314284949510;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;jayryangirl01;9;TRUE;FALSE;;
RT @QueerLion: ...and we have a winner!
Queer Lion Award 2020 to "The World to Come" by Mona Fastvold.
CONGRATULATIONS! 
The trophy will be…;FALSE;0;;2020-09-11 21:51:03;FALSE;;1304537970448498690;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;qu0kka;33;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 21:44:48;FALSE;;1304536396485414912;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;AkashSuresh212;162;TRUE;FALSE;;
RT @DoubleEyeCo: Encore! Tomorrow is our last performance of "Finding Pandora X" live from #venezia77 #VeniceFilmFestival2020. Shoutout to…;FALSE;0;;2020-09-11 21:44:16;FALSE;;1304536259449167872;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;PamelaKashani;4;TRUE;FALSE;;
RT @askyfullofCate: That's all I could do.
#CateBlanchett 
#Venezia77 https://t.co/y2ssBHUCOg;FALSE;0;;2020-09-11 21:31:36;FALSE;;1304533072013127680;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;bullockcarosell;33;TRUE;FALSE;;
Encore! Tomorrow is our last performance of "Finding Pandora X" live from #venezia77 #VeniceFilmFestival2020. Shout… https://t.co/TCGBed8h9D;FALSE;9;;2020-09-11 21:26:54;TRUE;;1304531890230251522;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;DoubleEyeCo;4;FALSE;FALSE;;
RT @la_Biennale: #BiennaleCinema2020 #Venezia77 The cast of #InBetweenDying by #HilalBaydarov walk the red carpet https://t.co/T47iMYF5L7;FALSE;0;;2020-09-11 21:25:30;FALSE;;1304531540018421760;;<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>;qurbanova_aygul;42;TRUE;FALSE;;
RT People from Venezia

#venezia77 #sugarpulpsapartment https://t.co/45gAKXkVwQ;FALSE;0;;2020-09-11 21:24:21;FALSE;;1304531248191344640;;<a href="https://ifttt.com" rel="nofollow">IFTTT</a>;Andrea_btw;0;FALSE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 21:23:02;FALSE;;1304530918124613632;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;asherxai;162;TRUE;FALSE;;
RT @OnTheLido: THE WORLD TO COME wins the @QueerLion.
#Venezia77;FALSE;0;;2020-09-11 21:22:36;FALSE;;1304530807021875203;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;Simonsds;18;TRUE;FALSE;;
RT @TheItalianReve: Our new #CoverStory with #KatherineWaterston in an interview we won’t forget <U+0001F30A>

Her performance in #TheWorldtoCome is a…;FALSE;0;;2020-09-11 21:20:29;FALSE;;1304530277574746112;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;bibliowitch;27;TRUE;FALSE;;
